date,wti,cpi,fedfunds,unrate,indpro,umcsent,sp500,payems,gdp,sp_total_return_idx
2021-01-31,52.16,262.687,0.09,6.4,98.8822,79.0,3714.24,142863.0,21082.134,138.8357
2021-02-28,61.55,263.579,0.08,6.2,95.6149,76.8,3811.15,143380.0,21082.134,142.3429
2021-03-31,59.19,264.961,0.07,6.1,98.3856,84.9,3972.89,144232.0,21082.134,144.9649
2021-04-30,63.5,266.614,0.07,6.1,98.5587,88.3,4181.17,144587.0,21440.929,150.286
2021-05-31,66.31,268.383,0.06,5.8,99.4333,82.9,4204.11,145065.0,21440.929,153.5066
2021-06-30,73.52,270.654,0.08,5.9,99.7987,85.5,4297.5,145820.0,21440.929,155.2178
2021-07-31,73.93,271.903,0.1,5.4,100.2519,81.2,4395.26,146762.0,21617.828,154.7849
2021-08-31,68.43,272.676,0.09,5.1,100.0437,70.3,4522.68,147314.0,21617.828,156.6078
2021-09-30,75.22,273.91,0.08,4.7,98.8579,72.8,4307.54,147771.0,21617.828,155.121
2021-10-31,83.5,276.55,0.08,4.5,100.1861,71.7,4605.38,148572.0,21988.737,156.8541
2021-11-30,66.14,278.919,0.08,4.1,100.8654,67.4,4567.0,149230.0,21988.737,159.9428
2021-12-31,75.33,280.845,0.08,3.9,100.5726,70.6,4766.18,149816.0,21988.737,157.3382
2022-01-31,89.16,282.543,0.08,4.0,100.1856,67.2,4515.55,150006.0,21932.71,158.1003
2022-02-28,96.13,284.5,0.08,3.9,100.8064,62.8,4373.94,150825.0,21932.71,155.2735
2022-03-31,100.53,287.674,0.2,3.7,101.3907,59.4,4530.41,151315.0,21932.71,152.9557
2022-04-30,104.59,288.561,0.33,3.7,101.44,65.2,4131.93,151623.0,21967.045,153.5939
2022-05-31,114.38,291.298,0.77,3.6,101.3335,58.4,4132.15,151924.0,21967.045,144.4183
2022-06-30,107.76,294.957,1.21,3.6,101.018,50.0,3785.38,152358.0,21967.045,139.7295
2022-07-31,101.31,294.913,1.68,3.5,101.223,51.5,4130.29,153072.0,22125.625,137.4874
2022-08-31,90.09,295.097,2.33,3.6,101.0963,58.2,3955.0,153362.0,22125.625,144.2186
2022-09-30,79.91,296.349,2.56,3.5,101.2918,58.6,3585.62,153582.0,22125.625,135.1335
2022-10-31,86.54,298.007,3.08,3.6,101.2529,59.9,3871.98,153939.0,22278.345,131.9779
2022-11-30,80.48,298.786,3.78,3.6,100.9552,56.7,4080.11,154242.0,22278.345,142.0909
2022-12-31,80.16,298.832,4.1,3.5,99.7664,59.8,3839.5,154342.0,22278.345,143.193
2023-01-31,78.95,300.42,4.33,3.5,100.505,64.9,4076.6,154776.0,22439.607,147.018
2023-02-28,76.88,301.45,4.57,3.6,100.6416,66.9,3970.15,155066.0,22439.607,148.2392
2023-03-31,75.68,301.821,4.65,3.5,101.0205,62.0,4109.31,155134.0,22439.607,141.1346
2023-04-30,76.78,302.845,4.83,3.4,101.253,63.7,4169.48,155375.0,22580.499,145.1761
2023-05-31,68.11,303.334,5.06,3.6,100.9286,59.0,4179.83,155655.0,22580.499,142.4708
2023-06-30,70.66,304.014,5.08,3.6,100.1196,64.2,4450.38,155880.0,22580.499,145.8344
2023-07-31,81.8,304.609,5.12,3.5,100.9067,71.5,4588.96,156043.0,22840.989,150.752
2023-08-31,83.55,306.082,5.33,3.7,100.8393,69.4,4507.66,156261.0,22840.989,149.6734
2023-09-30,90.77,307.276,5.33,3.7,101.0211,67.8,4288.05,156417.0,22840.989,147.9842
2023-10-31,81.64,307.696,5.33,3.9,100.4689,63.8,4193.8,156576.0,23033.78,141.8852
2023-11-30,75.66,308.148,5.33,3.7,100.8639,61.3,4567.8,156703.0,23033.78,146.6592
2023-12-31,71.89,308.741,5.33,3.8,100.6031,69.7,4769.83,156857.0,23033.78,154.8774
