date,wti,cpi,fedfunds,unrate,indpro,umcsent,sp500,payems,gdp,sp_total_return_idx
1989-01-31,17.0,121.2,9.12,5.4,62.2574,97.9,,107161.0,9771.725,15.88492
1989-02-28,18.21,121.6,9.36,5.2,61.9819,95.4,,107427.0,9771.725,16.3478
1989-03-31,20.27,122.2,9.85,5.0,62.1369,94.3,,107621.0,9771.725,16.30056
1989-04-30,20.38,123.1,9.84,5.2,62.1276,91.5,,107791.0,9846.293,16.7725
1989-05-31,19.93,123.7,9.81,5.2,61.7744,90.7,,107913.0,9846.293,17.35978
1989-06-30,20.29,124.1,9.53,5.3,61.7697,90.6,,108027.0,9846.293,17.90099
1989-07-31,18.33,124.5,9.24,5.2,61.1738,92.0,,108069.0,9919.228,18.33109
1989-08-31,18.83,124.5,8.99,5.2,61.7732,89.6,,108120.0,9919.228,19.10661
1989-09-30,20.15,124.8,9.02,5.3,61.5796,95.8,,108369.0,9919.228,19.11225
1989-10-31,19.88,125.4,8.84,5.3,61.4966,93.9,,108476.0,9938.767,19.06244
1989-11-30,19.87,125.9,8.55,5.4,61.7044,90.9,,108752.0,9938.767,18.66268
1989-12-31,21.84,126.3,8.45,5.4,62.0428,90.5,,108836.0,9938.767,19.07521
1990-01-31,22.69,127.5,8.23,5.4,61.729,93.0,,109196.0,10047.386,18.56648
1990-02-28,21.55,128.0,8.24,5.3,62.2896,89.5,,109436.0,10047.386,18.07759
1990-03-31,20.34,128.6,8.28,5.2,62.5999,91.3,,109640.0,10047.386,18.44583
1990-04-30,18.5,128.9,8.26,5.4,62.4359,93.9,,109674.0,10083.855,18.38141
1990-05-31,17.47,129.1,8.18,5.4,62.6258,90.6,,109828.0,10083.855,18.94923
1990-06-30,17.05,129.9,8.29,5.2,62.8382,88.3,,109850.0,10083.855,19.47706
1990-07-31,20.57,130.5,8.15,5.5,62.7284,88.2,,109815.0,10090.569,19.47469
1990-08-31,27.45,131.6,8.13,5.7,62.9475,76.4,,109607.0,10090.569,17.96866
1990-09-30,39.53,132.5,8.2,5.9,62.9523,72.8,,109522.0,10090.569,17.15432
1990-10-31,35.31,133.4,8.11,5.9,62.5845,63.9,,109377.0,9998.704,16.64209
1990-11-30,29.08,133.7,7.81,6.2,61.7887,66.0,,109222.0,9998.704,17.05451
1990-12-31,28.48,134.2,7.31,6.3,61.3352,65.5,,109168.0,9998.704,17.78271
1991-01-31,21.9,134.7,6.91,6.4,61.1355,66.8,,109058.0,9951.916,17.62213
1991-02-28,19.28,134.8,6.25,6.6,60.6838,70.4,,108735.0,9951.916,19.58308
1991-03-31,19.63,134.8,6.12,6.8,60.3346,87.7,,108568.0,9951.916,20.15921
1991-04-30,20.99,135.1,5.91,6.7,60.4938,81.8,,108350.0,10029.51,20.56992
1991-05-31,21.16,135.6,5.78,6.9,61.0633,78.3,,108253.0,10029.51,20.49271
1991-06-30,20.56,136.0,5.9,6.9,61.5581,82.1,,108330.0,10029.51,20.53056
1991-07-31,21.7,136.2,5.82,6.8,61.7305,82.9,,108290.0,10080.195,20.62734
1991-08-31,22.28,136.6,5.66,6.9,61.7298,82.0,,108300.0,10080.195,21.12646
1991-09-30,22.25,137.0,5.45,6.9,62.2195,83.0,,108335.0,10080.195,21.04894
1991-10-31,23.29,137.2,5.21,7.0,62.1855,78.3,,108361.0,10115.329,21.10341
1991-11-30,21.48,137.8,4.81,7.0,62.0871,69.1,,108300.0,10115.329,21.11836
1991-12-31,19.15,138.2,4.43,7.3,61.7852,68.2,,108330.0,10115.329,21.21873
1992-01-31,18.93,138.3,4.03,7.3,61.4616,67.5,,108365.0,10236.435,22.71159
1992-02-29,18.69,138.6,4.06,7.4,61.8955,68.8,,108312.0,10236.435,22.59063
1992-03-31,19.49,139.1,3.98,7.4,62.4232,76.0,,108367.0,10236.435,22.30278
1992-04-30,20.88,139.4,3.73,7.4,62.897,77.2,,108516.0,10347.429,22.23713
1992-05-31,22.13,139.7,3.82,7.6,63.104,79.2,,108646.0,10347.429,22.63905
1992-06-30,21.84,140.1,3.76,7.8,63.1363,80.4,,108706.0,10347.429,22.24978
1992-07-31,21.83,140.5,3.25,7.7,63.7176,76.6,,108793.0,10449.673,22.59568
1992-08-31,21.46,140.8,3.3,7.6,63.3613,76.1,,108916.0,10449.673,22.78407
1992-09-30,21.83,141.1,3.22,7.6,63.5703,75.6,,108951.0,10449.673,22.78987
1992-10-31,20.68,141.7,3.1,7.3,63.9995,73.3,,109139.0,10558.648,22.47702
1992-11-30,19.91,142.1,3.09,7.4,64.2422,85.3,,109283.0,10558.648,23.05813
1992-12-31,19.49,142.3,2.92,7.4,64.3507,91.0,,109502.0,10558.648,23.71526
