Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,ret,vol_z,trend_5,mom_5,trend_10,mom_10,trend_20,mom_20,trend_30,mom_30,volatility_30
2025-12-10 09:30:00,682.5599975585938,682.760009765625,682.3099975585938,682.52001953125,1426438,0.0,0.0,0.0,,,,,,,,,,,
2025-12-10 09:31:00,682.52001953125,682.6300048828125,682.239990234375,682.3099975585938,213233,0.0,0.0,0.0,-0.00030771547595120907,,,,,,,,,,
2025-12-10 09:32:00,682.3300170898438,682.4550170898438,682.0599975585938,682.22998046875,249815,0.0,0.0,0.0,-0.00011727380535253573,,,,,,,,,,
2025-12-10 09:33:00,682.25,682.4400024414062,682.1900024414062,682.2050170898438,178866,0.0,0.0,0.0,-3.65908559003536e-05,,,,,,,,,,
2025-12-10 09:34:00,682.2100219726562,682.3599853515625,682.114990234375,682.1300048828125,191012,0.0,0.0,0.0,-0.00010995551945836013,,-0.0001297137623403966,,,,,,,,
2025-12-10 09:35:00,682.1300048828125,682.1599731445312,681.6199951171875,681.6544189453125,291046,0.0,0.0,0.0,-0.0006972071805897428,,-0.0002068788506355032,-0.0012682420458992594,,,,,,,
2025-12-10 09:36:00,681.6599731445312,681.7050170898438,681.3099975585938,681.5599975585938,334091,0.0,0.0,0.0,-0.00013851797053532344,,-0.00027722672533292414,-0.001099207109207856,,,,,,,
2025-12-10 09:37:00,681.5700073242188,682.2849731445312,681.510009765625,682.260009765625,359820,0.0,0.0,0.0,0.001027073492485986,,-6.745567159098638e-05,4.401638411488662e-05,,,,,,,
2025-12-10 09:38:00,682.260009765625,682.5800170898438,682.25,682.4199829101562,319902,0.0,0.0,0.0,0.00023447533527010123,,0.00017383260807622266,0.00031510442598259303,,,,,,,
2025-12-10 09:39:00,682.4500122070312,682.5399780273438,682.2689819335938,682.2999877929688,201496,0.0,0.0,0.0,-0.00017583763692818888,,0.00031539595642762183,0.0002491943015838771,-3.083691034403866e-05,,,,,,
2025-12-10 09:40:00,682.3099975585938,682.469970703125,682.0449829101562,682.4600219726562,220777,0.0,0.0,0.0,0.00023455105166436674,,0.0002697195625137779,0.001181834966448525,2.8525491041019744e-05,-8.790593224639043e-05,,,,,
2025-12-10 09:41:00,682.469970703125,682.5599975585938,682.3366088867188,682.4815063476562,147746,0.0,0.0,0.0,3.1480781742976305e-05,,7.078595233185675e-05,0.0013520582081745225,7.014500223161958e-05,0.0002513649069721957,,,,,
2025-12-10 09:42:00,682.5,682.780029296875,682.489990234375,682.7150268554688,194854,0.0,0.0,0.0,0.00034216386179042324,,0.00011305998026018844,0.0006669262206941973,0.00011956140335651354,0.000710971960489859,,,,,
2025-12-10 09:43:00,682.72998046875,683.0700073242188,682.6649780273438,682.8300170898438,175403,0.0,0.0,0.0,0.00016843079447759202,,0.00019266711430970487,0.0006008531255765615,0.00016710388541796458,0.0009161468830383157,,,,,
2025-12-10 09:44:00,682.8200073242188,682.9099731445312,682.6400146484375,682.666015625,132695,0.0,0.0,0.0,-0.0002401790500404788,,0.00011140698039299072,0.0005364617302943131,0.00018309859692096042,0.0007857897150844728,,,,,
2025-12-10 09:45:00,682.6599731445312,682.9849853515625,682.6500244140625,682.9755859375,199972,0.0,0.0,0.0,0.00045347256991634666,,0.00013755700721944036,0.0007554493277914798,0.00016783241515967427,0.0019381771106710133,,,,,
2025-12-10 09:46:00,682.969970703125,683.094970703125,682.8499755859375,682.9299926757812,166898,0.0,0.0,0.0,-6.675679578815874e-05,,8.428248786876933e-05,0.0006571406315829531,0.00011624572032403956,0.002010087332142252,,,,,
2025-12-10 09:47:00,682.9249877929688,683.315185546875,682.89501953125,683.27001953125,327635,0.0,0.0,0.0,0.0004978941606246234,,0.00016750980141918024,0.0008129199650657171,0.00013588286872986665,0.0014803883434000298,,,,,
2025-12-10 09:48:00,683.260009765625,683.3099975585938,683.02001953125,683.1500244140625,168279,0.0,0.0,0.0,-0.00017561888237072054,,0.0001848395699947001,0.0004686485892675396,0.00014362380879177723,0.0010697833038137983,,,,,
2025-12-10 09:49:00,683.1400146484375,683.1400146484375,682.844970703125,682.8699951171875,191271,0.0,0.0,0.0,-0.0004099089319584692,,1.2956941047098733e-06,0.000298798369215314,0.00010432307111473251,0.0008354203934000104,8.358390077001033e-05,,,,
2025-12-10 09:50:00,682.8599853515625,683.2550048828125,682.8599853515625,683.2100219726562,217334,0.0,0.0,0.0,0.0004979379060436884,,2.34281155184743e-05,0.00034325683081992686,9.769135404610467e-05,0.001098965471753477,9.904133896735939e-05,0.0010109629339225545,,,
2025-12-10 09:51:00,683.2100219726562,683.3300170898438,682.97998046875,683.010009765625,156832,0.0,0.0,0.0,-0.0002927536198221725,,-6.734308538412033e-05,0.00011716733882227715,6.387606858485598e-05,0.0007743849658243818,0.00010393251522422082,0.0010259445260014655,,,
2025-12-10 09:52:00,683.02001953125,683.1199951171875,682.780029296875,682.8001098632812,161968,0.0,0.0,0.0,-0.0003073159973391304,,-8.196308487029818e-05,-0.0006877364065982494,2.6719139173681077e-05,0.00012462448381200808,0.00010103827810307954,0.000835685048815149,,,
2025-12-10 09:53:00,682.7999877929688,682.9600219726562,682.52001953125,682.8599853515625,148264,0.0,0.0,0.0,8.769109350792448e-05,,-6.295213782209685e-05,-0.0004245613000581905,4.059415174373986e-06,4.388831915513869e-05,9.756336826585228e-05,0.0009600754103402664,,,
2025-12-10 09:54:00,682.8499755859375,682.9299926757812,682.6799926757812,682.8629760742188,129745,0.0,0.0,0.0,4.379701139978209e-06,,-0.0001235987870053563,-1.0278739758562416e-05,-3.490075653046117e-05,0.00028851655818606936,9.097311645469135e-05,0.0010745329866146403,,,
